directory,directory_path,directory_depth,file_name,file_path,file_size,file_extension,mime_type,lines_of_code,complexity_score,functions_classes_count,imports_count,patterns_count,last_modified
servers,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\servers,8,show-paid-monitoring.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\monitoring\paid\servers\show-paid-monitoring.tsx,8209,.tsx,application/octet-stream,254,27,0,0,1,2025-08-28T21:21:28
mysql,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mysql,6,update-mysql.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mysql\update-mysql.tsx,3867,.tsx,application/octet-stream,154,16,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mysql\general,7,show-external-mysql-credentials.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mysql\general\show-external-mysql-credentials.tsx,4799,.tsx,application/octet-stream,165,17,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mysql\general,7,show-general-mysql.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mysql\general\show-general-mysql.tsx,7904,.tsx,application/octet-stream,254,26,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mysql\general,7,show-internal-mysql-credentials.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\mysql\general\show-internal-mysql-credentials.tsx,2266,.tsx,application/octet-stream,67,7,0,0,1,2025-08-28T21:21:28
organization,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\organization,6,handle-organization.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\organization\handle-organization.tsx,5001,.tsx,application/octet-stream,181,18,0,0,1,2025-08-28T21:21:28
postgres,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\postgres,6,update-postgres.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\postgres\update-postgres.tsx,4192,.tsx,application/octet-stream,157,16,0,0,1,2025-08-28T21:21:28
advanced,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\postgres\advanced,7,show-custom-command.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\postgres\advanced\show-custom-command.tsx,4174,.tsx,application/octet-stream,140,15,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\postgres\general,7,show-external-postgres-credentials.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\postgres\general\show-external-postgres-credentials.tsx,4807,.tsx,application/octet-stream,165,17,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\postgres\general,7,show-general-postgres.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\postgres\general\show-general-postgres.tsx,8073,.tsx,application/octet-stream,254,26,0,0,1,2025-08-28T21:21:28
general,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\postgres\general,7,show-internal-postgres-credentials.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\postgres\general\show-internal-postgres-credentials.tsx,2272,.tsx,application/octet-stream,59,6,0,0,1,2025-08-28T21:21:28
project,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project,6,add-ai-assistant.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project\add-ai-assistant.tsx,269,.tsx,application/octet-stream,8,1,0,0,1,2025-08-28T21:21:28
project,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project,6,add-application.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project\add-application.tsx,7445,.tsx,application/octet-stream,262,27,0,0,1,2025-08-28T21:21:28
project,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project,6,add-compose.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project\add-compose.tsx,7993,.tsx,application/octet-stream,281,29,0,0,1,2025-08-28T21:21:28
project,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project,6,add-database.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project\add-database.tsx,16570,.tsx,application/octet-stream,581,61,0,0,1,2025-08-28T21:21:28
project,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project,6,add-template.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project\add-template.tsx,16395,.tsx,application/octet-stream,511,52,0,0,1,2025-08-28T21:21:28
project,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project,6,duplicate-project.tsx,C:\Users\Hp\Desktop\quantum-nlp-service\dokploy-canary\apps\dokploy\components\dashboard\project\duplicate-project.tsx,5417,.tsx,application/octet-stream,195,20,0,0,1,2025-08-28T21:21:28
